"Genename","X","GENE","CHR","START","STOP","NSNPS","NPARAM","N","ZSTAT","P","X.1","cell_type","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADGRF2",873,222611,6,47589223,47675533,497,14,455258,2.0218,0.021596,NA,NA,NA,NA,NA,NA,NA
"ADGRF4",869,221393,6,47631289,47699757,364,20,455258,2.0136,0.022024,NA,NA,NA,NA,NA,NA,NA
"ADGRF5",870,221395,6,46810242,46957681,780,60,455258,2.0799,0.018767,NA,"endothelial_Alzheimer",0.0648244897857776,0.936675775696594,0.25,0,1
"ADRM1",410,11047,20,60842112,60894206,265,37,455258,2.0057,0.022443,NA,"macrophage_Alzheimer",0.502334954360502,1.01094337768658,0.2,0,1
"ADSSL1",795,122622,14,105155534,105223662,328,36,455258,2.4703,0.0067504,NA,NA,NA,NA,NA,NA,NA
"AGRN",941,375790,1,920503,1001499,488,50,455258,2.14,0.016176,NA,"endothelial_Alzheimer",0.0899425678438563,0.776471537585586,0.5,0.143,1
"AHRR",624,57491,5,269291,448406,922,54,455258,2.0224,0.021567,NA,NA,NA,NA,NA,NA,NA
"AJUBA",742,84962,14,23430386,23486851,137,30,455258,3.5835,0.00016951,NA,NA,NA,NA,NA,NA,NA
"AKT3",354,10000,1,243641535,244049381,903,45,455258,2.2551,0.012063,NA,"endothelial_Alzheimer",0.133103281459193,-0.687386370463636,0.875,0.929,1
"AKT3",354,10000,1,243641535,244049381,903,45,455258,2.2551,0.012063,NA,"hybrid_Alzheimer",0.0572007906843647,-0.291785170775794,0.769,0.797,1
"AKT3",354,10000,1,243641535,244049381,903,45,455258,2.2551,0.012063,NA,"microglia_Alzheimer",4.54145448928136e-06,-0.308026856914026,0.725,0.744,0.124404062824884
"AKT3",354,10000,1,243641535,244049381,903,45,455258,2.2551,0.012063,NA,"macrophage_Alzheimer",0.502334954360502,-1.13043019341435,0.4,0.5,1
"ALDH8A1",643,64577,6,135228528,135306260,227,29,455258,2.6982,0.0034857,NA,NA,NA,NA,NA,NA,NA
"ALDOA",7,226,16,30029411,30091741,114,18,455258,3.9699,3.595e-05,NA,NA,NA,NA,NA,NA,NA
"ALG10",739,84920,12,34140216,34191237,203,26,455258,2.0802,0.018752,NA,NA,NA,NA,NA,NA,NA
"AMIGO3",942,386724,3,49744267,49792238,111,18,455258,2.2415,0.012496,NA,NA,NA,NA,NA,NA,NA
"ANGPTL3",485,27329,1,63028158,63081976,92,12,455258,2.0466,0.02035,NA,NA,NA,NA,NA,NA,NA
"ANKDD1A",929,348094,15,65169095,65261042,381,47,455258,1.9716,0.024328,NA,"endothelial_Alzheimer",1,0.27086628167517,0.125,0.143,1
"ANKHD1",554,54882,5,139746399,139929441,365,33,455258,1.9863,0.023499,NA,NA,NA,NA,NA,NA,NA
"ANKHD1-EIF4EBP3",975,404734,5,139746399,139939163,387,36,455258,2.1775,0.014723,NA,NA,NA,NA,NA,NA,NA
"ANKIB1",537,54467,7,91840530,92040698,343,36,455258,2.5893,0.0048089,NA,"endothelial_Alzheimer",0.634742792470545,0.929520209522826,0.375,0.357,1
"ANKRD30B",939,374860,18,14713239,14862737,491,27,455258,2.014,0.022004,NA,"endothelial_Alzheimer",0.219302649679319,0.36067481745622,0.125,0,1
"ANP32C",449,23520,4,165108159,165153863,172,32,455258,2.0837,0.018592,NA,NA,NA,NA,NA,NA,NA
"ANPEP",9,290,15,90318126,90393119,316,42,455258,2.3766,0.0087355,NA,"endothelial_Alzheimer",0.219302649679319,0.414077941517571,0.125,0,1
"ANXA2R",956,389289,5,43029182,43075447,134,23,455258,2.1813,0.014581,NA,NA,NA,NA,NA,NA,NA
"AP1AR",579,55435,4,113117893,113201211,232,29,455258,2.5364,0.0056,NA,"macrophage_Alzheimer",0.502334954360502,1.01094337768658,0.2,0,1
"AP1AR",579,55435,4,113117893,113201211,232,29,455258,2.5364,0.0056,NA,"endothelial_Alzheimer",0.304978908217208,-0.347833445657638,0,0.143,1
"AP2A2",4,161,11,890809,1022245,584,33,455258,2.6605,0.0039014,NA,"endothelial_Alzheimer",0.827898555094934,-0.259673792915072,0.25,0.286,1
"AP2A2",4,161,11,890809,1022245,584,33,455258,2.6605,0.0039014,NA,"macrophage_Alzheimer",0.466854270822725,-0.719171368733448,0.2,0.5,1
"AP4E1",447,23431,15,51165780,51308097,429,23,455258,2.3747,0.0087816,NA,NA,NA,NA,NA,NA,NA
"AP4M1",322,9179,7,99664130,99714803,165,36,455258,3.7392,9.2314e-05,NA,NA,NA,NA,NA,NA,NA
"AP5B1",758,91056,11,65531369,65583062,181,33,455258,2.2503,0.012215,NA,"macrophage_Alzheimer",0.371093369522698,-0.727099676953022,0,0.25,1
"APBB3",369,10307,5,139927853,139979189,140,27,455258,2.3846,0.0085493,NA,"macrophage_Alzheimer",0.502334954360502,0.839116803525182,0.2,0,1
"APH1B",709,83464,15,63534749,63611325,223,40,455258,4.3928,5.5946e-06,NA,"macrophage_Alzheimer",0.502334954360502,1.01094337768658,0.2,0,1
"APH1B",709,83464,15,63534749,63611325,223,40,455258,4.3928,5.5946e-06,NA,"endothelial_Alzheimer",1,0.330906496437903,0.125,0.143,1
"APOA2",10,336,1,161182083,161228418,210,35,455258,3.0416,0.0011767,NA,NA,NA,NA,NA,NA,NA
"APOBEC2",394,10930,6,40985940,41042630,218,26,455258,2.6686,0.0038084,NA,NA,NA,NA,NA,NA,NA
"APOC1",11,341,19,45382577,45432606,197,41,455258,6.1094,5e-10,NA,"macrophage_Alzheimer",0.308369335861521,-0.805168716173623,0.2,0.5,1
"APOC2",12,344,19,45414239,45462822,183,22,455258,6.1094,5e-10,NA,NA,NA,NA,NA,NA,NA
"APOC4",13,346,19,45410495,45458753,180,23,455258,7.4933,3.3584e-14,NA,NA,NA,NA,NA,NA,NA
"APOE",14,348,19,45374039,45422650,199,44,455258,7.2605,1.9279e-13,NA,"hybrid_Alzheimer",3.12658803273777e-05,-0.497792566824578,0.049,0.156,0.856466259807856
"APOE",14,348,19,45374039,45422650,199,44,455258,7.2605,1.9279e-13,NA,"astrocytes_Alzheimer",8.62176617878904e-43,-0.792238877125891,0.725,0.877,2.36176040935568e-38
"APOE",14,348,19,45374039,45422650,199,44,455258,7.2605,1.9279e-13,NA,"macrophage_Alzheimer",0.370550318435373,1.70183436947197,0.6,0.5,1
"APOE",14,348,19,45374039,45422650,199,44,455258,7.2605,1.9279e-13,NA,"opc_Alzheimer",2.38152456703079e-16,-0.31333159587228,0.114,0.234,6.52371024646745e-12
"APOE",14,348,19,45374039,45422650,199,44,455258,7.2605,1.9279e-13,NA,"microglia_Alzheimer",2.63106130202526e-08,0.43535002895104,0.762,0.679,0.00072072662246378
"APOE",14,348,19,45374039,45422650,199,44,455258,7.2605,1.9279e-13,NA,"endothelial_Alzheimer",0.486634202152779,0.504907590515822,0.375,0.214,1
"APOH",15,350,17,64198147,64260556,292,25,455258,2.578,0.0049692,NA,"macrophage_Alzheimer",0.502334954360502,0.574805129781368,0.2,0,1
"APP",16,351,21,27242861,27578446,1289,81,455258,2.9606,0.0015351,NA,"macrophage_Alzheimer",0.371093369522698,-0.961496301478887,0,0.25,1
"APP",16,351,21,27242861,27578446,1289,81,455258,2.9606,0.0015351,NA,"oligodendrocytes_Alzheimer",9.75716441136918e-40,-0.282339746045523,0.897,0.914,2.67278004720636e-35
"APP",16,351,21,27242861,27578446,1289,81,455258,2.9606,0.0015351,NA,"endothelial_Alzheimer",0.00776695492182681,-2.2764734031412,0.125,0.714,1
"APPL1",470,26060,3,57226765,57317499,210,32,455258,2.7546,0.0029385,NA,NA,NA,NA,NA,NA,NA
"ARF1",17,375,1,228235361,228296913,142,30,455258,1.984,0.023629,NA,"endothelial_Alzheimer",0.760921179222628,0.260461104906262,0.125,0.214,1
"ARF1",17,375,1,228235361,228296913,142,30,455258,1.984,0.023629,NA,"macrophage_Alzheimer",0.371093369522698,-0.727099676953022,0,0.25,1
"ARF4",18,378,3,57547090,57618215,235,30,455258,1.9791,0.023901,NA,"endothelial_Alzheimer",0.209567584938445,0.710761589807325,0.375,0.143,1
"ARHGAP30",890,257106,1,161006731,161074760,225,51,455258,3.6765,0.00011822,NA,"macrophage_Alzheimer",0.240420786368435,1.213079731243,0.4,0,1
"ARL4A",359,10124,7,12691452,12740559,269,31,455258,2.181,0.014592,NA,NA,NA,NA,NA,NA,NA
"ARMS2",945,387715,10,124179179,124226868,196,32,455258,2.885,0.0019573,NA,NA,NA,NA,NA,NA,NA
"ART1",19,417,11,3628487,3695844,445,58,455258,2.0946,0.018105,NA,NA,NA,NA,NA,NA,NA
"ART5",790,116969,11,3649733,3698546,310,45,455258,2.3843,0.0085555,NA,NA,NA,NA,NA,NA,NA
"ASB14",818,142686,3,57292379,57361753,216,28,455258,2.7454,0.0030218,NA,NA,NA,NA,NA,NA,NA
"ASB15",817,142685,7,123206882,123287951,284,30,455258,2.1021,0.017774,NA,NA,NA,NA,NA,NA,NA
"ASCC3",398,10973,6,100946325,101364243,1574,43,455258,2.3861,0.0085133,NA,"endothelial_Alzheimer",0.421278052298505,0.346685903466468,0.75,0.571,1
"ASCC3",398,10973,6,100946325,101364243,1574,43,455258,2.3861,0.0085133,NA,"hybrid_Alzheimer",0.0944386773730686,0.25319846723117,0.341,0.297,1
"ASIC4",583,55515,2,220343892,220413494,224,37,455258,2.0895,0.01833,NA,NA,NA,NA,NA,NA,NA
"ASPHD1",884,253982,16,29877147,29941181,135,28,455258,2.8826,0.0019723,NA,NA,NA,NA,NA,NA,NA
"ASPN",550,54829,9,95208487,95279844,222,28,455258,1.9864,0.023492,NA,"endothelial_Alzheimer",0.0699206457868955,-1.28423366423482,0,0.357,1
"ATF5",422,22809,19,50396959,50447193,230,46,455258,2.4283,0.0075847,NA,"macrophage_Alzheimer",0.502334954360502,0.870931831760235,0.2,0,1
"ATP13A2",444,23400,1,17302453,17373467,228,28,455258,2.1565,0.015521,NA,"endothelial_Alzheimer",0.229902909174636,0.65006094074131,0.25,0.071,1
"ATP1A3",20,478,19,42460628,42533428,130,40,455258,1.9651,0.024703,NA,NA,NA,NA,NA,NA,NA
"ATP5E",21,514,20,57593733,57642422,155,25,455258,2.2591,0.01194,NA,NA,NA,NA,NA,NA,NA
"ATP8B3",838,148229,19,1772074,1847275,250,50,455258,3.2033,0.00067942,NA,NA,NA,NA,NA,NA,NA
"ATPAF2",763,91647,17,17911334,17977483,152,17,455258,3.2427,0.00059208,NA,"macrophage_Alzheimer",0.502334954360502,0.574805129781368,0.2,0,1
"ATXN10",462,25814,22,46032678,46251187,737,39,455258,1.9671,0.024587,NA,"macrophage_Alzheimer",0.139996284315541,-1.42830124863006,0.2,0.75,1
"ATXN10",462,25814,22,46032678,46251187,737,39,455258,1.9671,0.024587,NA,"endothelial_Alzheimer",0.782741755375532,0.358877081139687,0.625,0.786,1
"AURKA",246,6790,20,54934445,55002351,205,55,455258,4.3751,6.0676e-06,NA,NA,NA,NA,NA,NA,NA
"AXL",22,558,19,41690104,41777672,312,48,455258,2.5278,0.0057387,NA,"microglia_Alzheimer",1.29382186123566e-20,0.541125504778135,0.51,0.287,3.54416622448285e-16
"AXL",22,558,19,41690104,41777672,312,48,455258,2.5278,0.0057387,NA,"endothelial_Alzheimer",0.36254018280957,0.496855577167665,0.5,0.286,1
"AXL",22,558,19,41690104,41777672,312,48,455258,2.5278,0.0057387,NA,"macrophage_Alzheimer",0.347654480133319,1.42105260171858,0.6,0.25,1
"AZGP1",23,563,7,99554350,99608735,150,25,455258,4.6446,1.7037e-06,NA,"oligodendrocytes_Alzheimer",8.2535607362389e-126,0.657942653962539,0.194,0.02,2.26089789247792e-121
"B3GALTL",822,145173,13,31739112,31916413,610,41,455258,2.2131,0.013446,NA,NA,NA,NA,NA,NA,NA
"B4GALNT2",801,124872,17,47174822,47257351,331,38,455258,2.4231,0.0076952,NA,NA,NA,NA,NA,NA,NA
"B4GALT3",302,8703,1,161131100,161182758,162,45,455258,4.799,7.9735e-07,NA,NA,NA,NA,NA,NA,NA
"BAALC",685,79870,8,104117921,104252533,659,62,455258,2.0432,0.020515,NA,"opc_Alzheimer",2.850285128241e-08,-0.406922820467203,0.728,0.713,0.000780778605179056
"BAALC",685,79870,8,104117921,104252533,659,62,455258,2.0432,0.020515,NA,"astrocytes_Alzheimer",2.25014107734675e-18,-0.681410146196487,0.602,0.717,6.16381145317595e-14
"BAALC",685,79870,8,104117921,104252533,659,62,455258,2.0432,0.020515,NA,"oligodendrocytes_Alzheimer",2.75443878827067e-09,-0.375348688003516,0.144,0.184,7.54523417270985e-05
"BACE1",454,23621,11,117146402,117221972,221,44,455258,2.4783,0.0065996,NA,"macrophage_Alzheimer",0.502334954360502,0.839116803525182,0.2,0,1
"BACE1",454,23621,11,117146402,117221972,221,44,455258,2.4783,0.0065996,NA,"endothelial_Alzheimer",0.304978908217208,-0.353603478347008,0,0.143,1
"BBC3",482,27113,19,47714079,47771023,146,32,455258,2.1296,0.016602,NA,NA,NA,NA,NA,NA,NA
"BCAM",150,4059,19,45277316,45334678,189,30,455258,7.4042,6.5947e-14,NA,"endothelial_Alzheimer",0.206421433865969,-1.13061915991497,0.25,0.5,1
"BCKDK",367,10295,16,31084615,31134112,110,17,455258,4.9034,4.7087e-07,NA,"endothelial_Alzheimer",0.304978908217208,-0.441014710258892,0,0.143,1
"BCL3",24,602,19,45211070,45273301,278,32,455258,8.1839,1.3738e-16,NA,"endothelial_Alzheimer",0.219302649679319,0.360602320442382,0.125,0,1
"BCL7C",328,9274,16,30835373,30940852,174,24,455258,4.1081,1.9943e-05,NA,"macrophage_Alzheimer",0.371093369522698,-0.961496301478887,0,0.25,1
"BHMG1",952,388553,19,46201515,46277376,192,38,455258,3.58,0.00017179,NA,NA,NA,NA,NA,NA,NA
"BIN1",8,274,2,127795599,127899903,536,40,455258,8.0432,4.3767e-16,NA,"macrophage_Alzheimer",0.662427484737242,-0.398827597976699,0.2,0.5,1
"BIN1",8,274,2,127795599,127899903,536,40,455258,8.0432,4.3767e-16,NA,"hybrid_Alzheimer",0.0108722150473483,0.348228383484018,0.326,0.247,1
"BLNK",491,29760,10,97941455,98066333,603,86,455258,2.5613,0.0052135,NA,"macrophage_Alzheimer",0.893272830142212,-0.405973357228972,0.4,0.5,1
"BLOC1S3",951,388552,19,45647003,45695058,197,32,455258,7.2856,1.6009e-13,NA,NA,NA,NA,NA,NA,NA
"BMPR2",25,659,2,203206033,203442474,598,39,455258,2.2881,0.011065,NA,"macrophage_Alzheimer",0.0733115879579401,1.84149162679774,0.8,0.25,1
"BMPR2",25,659,2,203206033,203442474,598,39,455258,2.2881,0.011065,NA,"astrocytes_Alzheimer",3.72698888491437e-06,-0.336755557237353,0.636,0.673,0.102093406524459
"BPTF",90,2186,17,65786644,65990494,659,29,455258,2.7211,0.0032536,NA,"macrophage_Alzheimer",0.687321801173995,0.564344975747049,0.6,0.25,1
"BPTF",90,2186,17,65786644,65990494,659,29,455258,2.7211,0.0032536,NA,"astrocytes_Alzheimer",1.10846679655382e-19,0.450160445537616,0.822,0.783,3.03642309579989e-15
"BPTF",90,2186,17,65786644,65990494,659,29,455258,2.7211,0.0032536,NA,"endothelial_Alzheimer",0.645889372868073,0.385792257004542,0.625,0.571,1
"BPTF",90,2186,17,65786644,65990494,659,29,455258,2.7211,0.0032536,NA,"neurons_Alzheimer",1.90020899040335e-32,0.252710300481138,0.769,0.788,5.2052424874119e-28
"BSCL2",478,26580,11,62447734,62512091,180,25,455258,1.9803,0.023837,NA,NA,NA,NA,NA,NA,NA
"BTBD3",426,22903,20,11836377,11917243,325,26,455258,2.1501,0.015774,NA,"endothelial_Alzheimer",0.576959937431562,0.471051643777528,0.25,0.143,1
"BTBD3",426,22903,20,11836377,11917243,325,26,455258,2.1501,0.015774,NA,"macrophage_Alzheimer",0.502334954360502,0.957919848624492,0.2,0,1
"BZRAP1",326,9256,17,56368588,56441152,253,37,455258,3.2438,0.00058969,NA,NA,NA,NA,NA,NA,NA
"C10orf120",966,399814,10,124447225,124494338,184,46,455258,2.1587,0.015437,NA,NA,NA,NA,NA,NA,NA
"C10orf99",944,387695,10,85898511,85955050,185,43,455258,2.1461,0.015934,NA,NA,NA,NA,NA,NA,NA
"C11orf63",683,79864,11,122718236,122840430,483,61,455258,2.0646,0.01948,NA,NA,NA,NA,NA,NA,NA
"C11orf70",744,85016,11,101883147,101965291,293,33,455258,2.6588,0.0039209,NA,NA,NA,NA,NA,NA,NA
"C11orf94",820,143678,11,45918085,45963833,111,28,455258,2.6562,0.0039519,NA,NA,NA,NA,NA,NA,NA
"C12orf71",987,728858,12,27223990,27270455,236,34,455258,1.9796,0.023875,NA,NA,NA,NA,NA,NA,NA
"C14orf119",565,55017,14,23529683,23579665,157,25,455258,2.0676,0.019341,NA,NA,NA,NA,NA,NA,NA
"C14orf169",675,79697,14,73922644,73970105,165,37,455258,2.0834,0.018608,NA,NA,NA,NA,NA,NA,NA
"C14orf80",899,283643,14,105921192,105975585,158,33,455258,2.4332,0.0074837,NA,NA,NA,NA,NA,NA,NA
"C14orf93",633,60686,14,23446110,23514375,174,42,455258,3.7763,7.9597e-05,NA,NA,NA,NA,NA,NA,NA
"C16orf45",748,89927,16,15493325,15692116,618,72,455258,1.9639,0.02477,NA,"endothelial_Alzheimer",0.649857613458815,-0.300786173329958,0.25,0.357,1
"C16orf82",850,162083,16,27043219,27090487,256,34,455258,3.2031,0.00067971,NA,NA,NA,NA,NA,NA,NA
"C16orf92",825,146378,16,29999655,30046023,105,14,455258,4.0743,2.3072e-05,NA,NA,NA,NA,NA,NA,NA
"C16orf93",757,90835,16,30758733,30808598,67,21,455258,3.083,0.0010248,NA,NA,NA,NA,NA,NA,NA
"C17orf107",993,100130311,17,4767948,4816227,260,30,455258,3.8435,6.0637e-05,NA,NA,NA,NA,NA,NA,NA
"C17orf58",903,284018,17,65977217,66024765,145,18,455258,2.2565,0.012018,NA,NA,NA,NA,NA,NA,NA
"C17orf97",968,400566,17,225118,274457,213,33,455258,2.5144,0.0059615,NA,NA,NA,NA,NA,NA,NA
"C17orf99",997,100141515,17,76107434,76172364,358,67,455258,1.9889,0.023355,NA,NA,NA,NA,NA,NA,NA
"C19orf84",831,147646,19,51881543,51928828,225,30,455258,2.2592,0.011936,NA,NA,NA,NA,NA,NA,NA
"C1orf106",589,55765,1,200825627,200894864,306,47,455258,2.0675,0.019344,NA,NA,NA,NA,NA,NA,NA
"C1orf116",665,79098,1,207181866,207243555,287,30,455258,4.6953,1.3308e-06,NA,NA,NA,NA,NA,NA,NA
"C1orf185",915,284546,1,51407129,51623754,641,47,455258,2.4411,0.0073223,NA,NA,NA,NA,NA,NA,NA
"C1orf35",669,79169,1,228278428,228328112,114,26,455258,2.4545,0.0070536,NA,NA,NA,NA,NA,NA,NA
"C1QBP",26,708,17,5326099,5377471,199,34,455258,2.3036,0.010623,NA,NA,NA,NA,NA,NA,NA
"C1QTNF7",784,114905,4,15306560,15457791,632,46,455258,2.7285,0.0031815,NA,"endothelial_Alzheimer",0.0699206457868955,-1.04110485846002,0,0.357,1
"C22orf46",673,79640,22,42051547,42104140,211,26,455258,2.4535,0.0070744,NA,"endothelial_Alzheimer",0.219302649679319,0.360602320442382,0.125,0,1
"C2CD3",468,26005,11,73713759,73917064,800,39,455258,2.6442,0.0040944,NA,"macrophage_Alzheimer",0.131210414512999,-1.37997384595499,0,0.5,1
"C3orf38",916,285237,3,88163875,88217115,172,16,455258,2.0006,0.022716,NA,"endothelial_Alzheimer",0.219302649679319,0.291715123999426,0.125,0,1
"C3orf38",916,285237,3,88163875,88217115,172,16,455258,2.0006,0.022716,NA,"macrophage_Alzheimer",0.502334954360502,0.870931831760235,0.2,0,1
"C4BPB",27,725,1,207227210,207283338,210,42,455258,2.7896,0.0026384,NA,NA,NA,NA,NA,NA,NA
"C4orf32",814,132720,4,113031553,113120237,288,21,455258,3.5536,0.00018997,NA,NA,NA,NA,NA,NA,NA
"C4orf45",845,152940,4,159804684,159991333,717,45,455258,2.282,0.011246,NA,NA,NA,NA,NA,NA,NA
"C5orf45",513,51149,5,179253927,179320867,309,42,455258,2.8929,0.0019086,NA,NA,NA,NA,NA,NA,NA
"C7orf43",573,55262,7,99742043,99791338,117,24,455258,5.9582,1.2749e-09,NA,NA,NA,NA,NA,NA,NA
"C7orf61",973,402573,7,100044238,100097063,114,19,455258,2.4047,0.0080937,NA,NA,NA,NA,NA,NA,NA
"C8orf76",740,84933,8,124222196,124288656,131,19,455258,3.1818,0.00073181,NA,NA,NA,NA,NA,NA,NA
"C9orf89",726,84270,9,95823450,95885565,297,42,455258,3.3228,0.00044566,NA,NA,NA,NA,NA,NA,NA
"CA12",29,771,15,63605730,63709326,390,58,455258,2.3348,0.0097766,NA,NA,NA,NA,NA,NA,NA
"CA7",28,766,16,66843282,66898052,159,28,455258,2.4951,0.0062964,NA,NA,NA,NA,NA,NA,NA
"CABP7",856,164633,22,30081344,30137822,232,44,455258,2.2309,0.012845,NA,NA,NA,NA,NA,NA,NA
"CACNA1H",309,8912,16,1168241,1281772,634,101,455258,2.1279,0.016674,NA,NA,NA,NA,NA,NA,NA
"CADPS",299,8618,3,62374021,62896064,2327,134,455258,2.2662,0.011718,NA,"microglia_Alzheimer",9.97334106969012e-05,-0.391619343113576,0.082,0.134,1
"CADPS",299,8618,3,62374021,62896064,2327,134,455258,2.2662,0.011718,NA,"macrophage_Alzheimer",0.308369335861521,-1.23419395981737,0.2,0.5,1
"CADPS2",775,93664,7,121948478,122561813,2111,92,455258,2.3146,0.010317,NA,"macrophage_Alzheimer",0.240420786368435,2.06891416308669,0.4,0,1
"CALHM1",887,255022,10,105203144,105253648,199,39,455258,2.2638,0.011795,NA,NA,NA,NA,NA,NA,NA
"CALHM2",511,51063,10,105196543,105247162,187,36,455258,2.1049,0.017652,NA,NA,NA,NA,NA,NA,NA
"CALHM3",792,119395,10,105222561,105273997,227,39,455258,2.0571,0.01984,NA,NA,NA,NA,NA,NA,NA
"CAMTA2",437,23125,17,4861287,4925960,263,34,455258,3.5649,0.000182,NA,"endothelial_Alzheimer",0.173235754128996,-0.864304776062533,0.125,0.429,1
"CAND1",595,55832,12,67628061,67718388,363,27,455258,2.3628,0.0090688,NA,"endothelial_Alzheimer",0.377249244815454,-0.658148429759749,0.125,0.286,1
"CAND1",595,55832,12,67628061,67718388,363,27,455258,2.3628,0.0090688,NA,"macrophage_Alzheimer",0.502334954360502,0.870931831760235,0.2,0,1
"CARF",680,79800,2,203741978,203861060,342,22,455258,3.5783,0.00017291,NA,"endothelial_Alzheimer",0.0679063106075112,0.84757014908755,0.375,0.071,1
"CARHSP1",452,23589,16,8936799,8997869,341,54,455258,2.2092,0.013582,NA,"endothelial_Alzheimer",0.177754829836289,0.883211177748215,0.375,0.143,1
"CARHSP1",452,23589,16,8936799,8997869,341,54,455258,2.2092,0.013582,NA,"macrophage_Alzheimer",0.502334954360502,0.839116803525182,0.2,0,1
"CASS4",616,57091,20,54952168,55044396,332,53,455258,5.3782,3.7613e-08,NA,"macrophage_Alzheimer",0.240420786368435,1.213079731243,0.4,0,1
"CBLC",455,23624,19,45246126,45313903,202,23,455258,6.1094,5e-10,NA,NA,NA,NA,NA,NA,NA
"CCDC109B",564,55013,4,110446355,110618872,589,41,455258,2.0223,0.021571,NA,NA,NA,NA,NA,NA,NA
"CCDC116",855,164592,22,21952086,22001616,122,20,455258,2.3296,0.0099136,NA,NA,NA,NA,NA,NA,NA
"CCDC42B",947,387885,12,113552543,113607081,204,29,455258,2.2715,0.011559,NA,NA,NA,NA,NA,NA,NA
"CCDC6",283,8030,10,61538505,61701414,814,35,455258,3.5658,0.0001814,NA,"macrophage_Alzheimer",0.227248609913034,-1.99154417295138,0.2,0.75,1
"CCDC6",283,8030,10,61538505,61701414,814,35,455258,3.5658,0.0001814,NA,"hybrid_Alzheimer",0.0729246761989598,0.297906441219344,0.261,0.206,1
